0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2,3,4,6,9,10,11,12,13,16,19,20,21,22,23,24,25,27,28,29,31,32,33,34,35,36,37,38,39,40
0,3,4,6,7,8,9,10,11,12,13,16,17,18,19,20,21,22,23,25,27,28,30,31,32,35,36,41,42,43,44
0,3,4,6,7,8,10,11,12,16,19,20,21,22,23,24,25,27,28,31,32,35,37,38,40,41,43,45,46,47,48
1,4,6,9,10,11,13,16,19,21,23,24,25,27,28,29,31,32,34,35,37,38,39,40,41,47,49,50,51,52,53
1,1,4,5,6,9,10,11,12,13,16,17,18,19,20,21,22,23,27,28,30,34,35,41,42,43,47,48,49,50,54
0,4,6,7,8,10,11,14,16,17,18,19,20,21,22,23,25,26,27,28,30,31,32,41,42,44,45,46,47,49,51
0,3,4,6,7,8,10,11,12,16,19,20,21,22,23,24,25,27,28,31,32,35,36,37,38,39,40,41,44,45,46
1,4,6,9,10,11,12,13,15,16,19,20,21,22,23,25,28,31,32,34,35,37,38,40,41,42,43,44,49,50,55
0,2,4,6,7,9,10,11,13,15,16,19,20,21,22,23,25,27,28,31,32,34,35,37,38,39,40,42,44,49,51
1,2,3,4,6,10,11,16,17,18,19,20,21,22,23,24,28,30,31,32,33,34,35,43,45,46,47,48,51,54,55
0,2,4,6,8,9,10,11,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,36,44,49,50,51
0,1,2,4,5,6,10,11,12,14,15,16,19,21,23,25,26,27,28,33,37,38,40,42,44,45,46,49,52,53,56
0,2,4,6,8,10,11,14,16,19,20,21,22,23,24,25,27,28,29,31,32,33,36,37,38,39,40,45,46,49,51
1,2,4,7,9,10,11,12,13,15,19,20,21,22,23,25,27,28,31,32,34,35,37,38,40,42,43,48,49,57,58
0,6,10,11,14,16,19,20,21,22,23,25,26,27,28,31,32,33,37,38,40,42,44,45,46,47,49,51,56,59,60
0,4,6,9,10,11,12,13,16,17,18,19,20,21,22,23,25,27,28,29,30,31,32,34,35,36,39,42,49,50,59
0,3,4,6,7,10,13,16,17,18,19,20,21,22,23,24,27,28,29,30,31,32,35,36,43,45,51,54,56,59,61
1,2,3,4,6,7,10,11,12,16,17,18,19,20,21,22,23,25,26,28,30,31,32,34,35,36,42,45,46,48,55
1,2,3,4,6,7,9,10,11,13,16,17,18,19,25,27,28,30,31,32,34,35,39,42,44,47,51,52,53,62,63
1,4,6,9,10,11,13,16,17,18,19,21,23,24,27,28,30,31,32,33,34,35,41,43,47,48,49,51,52,53,54
1,3,4,6,10,11,12,16,17,18,19,20,21,22,23,24,26,27,28,30,31,32,33,34,35,36,41,44,45,46,54
1,2,3,4,6,7,8,9,10,11,12,13,16,19,20,21,22,23,27,28,31,32,35,37,38,39,40,42,47,48,54
1,2,3,4,6,9,10,11,13,16,19,20,21,22,23,27,28,31,32,35,37,38,40,42,43,47,48,50,51,54,56
1,6,9,10,11,12,16,19,20,21,22,23,26,27,28,31,32,34,35,37,38,40,42,44,46,47,49,50,54,59,60
1,3,4,6,9,10,11,13,16,19,20,21,22,23,24,27,28,31,32,33,34,37,38,40,43,44,47,51,54,59,64
0,3,4,6,8,10,11,12,14,16,17,18,19,20,21,22,23,27,28,30,31,32,33,36,39,42,45,46,48,54,59
1,4,7,10,11,16,17,18,19,20,21,22,23,25,27,28,30,31,32,34,39,42,44,45,46,47,49,51,57,59,64
1,4,5,7,9,10,11,13,16,20,21,22,23,24,25,27,28,31,34,37,38,40,43,47,48,49,51,57,59,64,65
1,3,4,6,7,9,10,11,13,16,19,20,21,22,23,24,28,31,32,34,37,38,40,43,44,47,51,54,55,59,64
1,3,4,6,7,9,10,11,12,13,15,16,19,20,21,22,23,24,25,26,27,28,31,32,34,35,37,38,40,44,59
1,3,4,6,7,9,11,12,13,16,17,18,19,21,25,28,30,31,32,34,35,36,42,43,44,52,53,55,59,63,66
1,3,4,9,10,11,13,15,17,18,19,20,21,22,23,26,27,28,30,31,32,34,42,48,50,51,54,57,58,59,64
1,3,4,6,7,9,10,11,13,15,16,17,18,19,20,21,22,23,27,28,30,31,32,34,35,41,42,43,44,51,54
0,3,4,6,10,11,14,16,17,18,19,20,21,22,23,25,27,28,29,30,31,32,33,36,41,42,43,45,46,51,56
0,3,4,6,7,8,9,10,11,12,13,14,16,19,20,21,22,23,24,25,26,27,28,29,31,32,37,38,40,41,47
0,3,4,6,7,9,11,12,14,16,19,21,24,25,27,28,31,32,34,37,38,39,40,41,44,46,47,52,53,63,66
0,3,4,6,7,8,11,14,16,19,21,23,24,25,27,28,31,32,37,38,39,40,41,44,45,46,47,51,52,53,66
1,2,3,4,7,9,10,11,13,17,18,19,20,21,22,23,25,27,29,30,31,32,34,36,42,43,51,57,58,64,67
1,3,4,6,8,9,10,11,12,16,19,20,21,22,23,24,25,27,28,31,32,33,37,38,40,43,44,46,47,59,64
1,3,4,9,10,11,12,13,16,19,20,21,22,23,25,27,28,31,32,34,37,38,40,42,43,44,47,50,57,59,64
1,1,4,5,6,9,10,11,12,13,16,20,21,22,23,25,27,34,35,36,37,38,40,42,43,48,49,50,59,65,67
0,3,4,6,7,8,14,16,17,18,19,21,23,24,25,27,28,30,31,32,36,43,45,46,48,51,52,53,59,61,66
0,3,4,6,11,12,14,16,17,18,19,21,23,25,26,27,28,30,31,32,33,42,44,45,46,47,52,53,56,59,66
0,3,6,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,27,28,29,30,31,32,33,43,51,54,59,60
1,2,3,4,6,9,11,13,19,21,23,24,27,28,31,32,33,34,35,36,37,38,40,43,44,51,52,53,54,58,66
1,1,2,4,5,7,9,10,11,12,13,17,18,19,20,21,22,23,27,28,29,30,34,35,42,43,47,49,54,57,58
0,3,4,6,7,8,9,10,11,12,16,19,20,21,22,23,24,25,27,28,31,32,35,36,37,38,40,43,44,46,59
0,3,4,6,7,9,10,11,13,14,16,19,20,21,22,23,24,25,27,28,31,32,34,36,37,38,39,40,44,51,59
1,3,4,6,9,10,11,13,15,16,17,18,19,20,21,22,23,27,30,31,32,34,35,42,43,48,50,51,54,59,67
0,3,4,6,9,10,11,12,13,16,19,20,21,22,23,27,28,31,32,34,35,36,37,38,39,40,42,44,50,54,59
1,2,3,4,6,9,11,13,19,21,25,27,31,32,34,35,37,38,39,40,42,44,47,50,51,52,53,58,63,66,67
1,1,4,5,7,9,10,11,12,13,15,16,17,18,19,20,21,22,23,25,27,30,34,42,43,44,49,57,59,64,67
0,3,4,6,8,10,11,16,19,20,21,22,23,24,27,28,31,32,35,37,38,40,43,44,45,46,47,50,51,54,59
0,3,4,6,8,12,14,16,17,18,19,21,23,24,25,27,28,30,31,32,33,39,44,45,46,47,52,53,59,61,66
0,3,4,6,9,14,16,17,18,19,21,23,25,27,28,30,31,32,33,39,42,44,46,47,51,52,53,56,59,61,66
1,1,4,5,10,11,12,13,16,19,20,21,22,23,27,28,29,34,35,37,38,40,42,43,45,47,49,50,54,57,59
1,3,4,6,9,13,15,16,17,18,19,21,23,28,30,31,32,34,35,42,43,44,50,51,52,53,54,55,59,61,66
0,3,4,6,7,8,9,12,13,16,17,18,19,21,23,24,25,27,28,30,31,32,35,39,44,47,52,53,59,61,66
0,1,4,5,6,9,12,14,15,16,17,18,19,21,23,25,27,28,30,33,39,42,46,48,49,52,53,56,59,61,66
0,3,4,6,8,10,11,13,16,19,20,21,22,23,24,25,27,28,29,31,32,35,36,37,38,39,40,45,50,51,59
0,3,4,6,8,9,10,11,12,16,19,20,21,22,23,25,27,28,31,32,35,36,37,38,39,40,42,44,46,50,59
1,2,3,4,9,10,11,13,17,18,19,20,21,22,23,24,27,28,30,31,32,33,34,35,39,44,47,51,54,57,58
0,3,4,6,7,9,11,16,19,21,24,25,27,28,31,32,34,35,36,37,38,40,43,46,48,51,52,53,59,63,66
1,2,3,4,5,9,11,13,15,21,23,25,27,28,31,34,37,38,40,42,43,44,50,51,52,53,57,58,64,65,66
1,3,4,6,10,11,16,17,18,19,20,21,22,23,24,27,28,30,31,32,33,34,43,44,45,46,47,51,54,59,64
0,2,3,4,5,6,7,8,9,13,14,17,18,21,23,24,25,27,28,30,31,36,43,48,51,52,53,58,61,65,66
0,3,4,5,6,8,10,11,16,19,20,21,22,23,25,27,28,31,33,35,37,38,40,42,43,44,45,46,47,51,59
1,3,4,7,9,10,11,12,16,17,18,19,20,21,22,23,27,28,30,31,32,34,36,39,42,44,46,54,57,59,64
0,3,4,5,6,7,8,10,11,14,16,19,20,21,22,23,24,25,26,27,28,31,36,37,38,40,45,46,48,51,59
1,3,4,6,9,10,11,13,16,17,18,19,20,21,22,23,28,30,31,32,34,42,43,44,47,50,51,54,55,59,64
1,1,4,5,6,9,10,11,12,13,16,17,18,19,20,21,22,23,28,30,34,35,36,42,43,48,49,50,54,55,59
0,3,4,6,7,8,9,10,11,13,16,17,18,19,20,21,22,23,24,26,27,28,30,31,32,35,36,44,51,54,59
1,3,4,5,7,9,10,11,13,16,19,20,21,22,23,27,28,31,34,37,38,40,42,43,44,47,51,54,57,59,64
0,3,4,5,6,9,10,11,12,14,15,16,19,20,21,22,23,26,27,28,31,33,37,38,40,42,44,46,54,56,59
